Código,Tipo,Liquidación,Fecha,Hora,Moneda,Variación,Último Pcio.,Apertura,Cierre Ant.,Pcio. Máx.,Pcio. Mín.,V.Nominal,Mto. Negoc.,OP
,D31O5,LETRAS TESORO NAC,24 hs.,28/10/2025 17:02,Pesos Argentinos,"0,00%","$146.513,05","$0,00","$138.735,27","$148.807,17","$136.491,92",V$201.407.724,$292.420.142.167,164
,,,,,,,,,,,,,,
,DE6C,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$93,82","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,DE6C,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$93,05","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,DE6D,LETRAS TESORO NAC,Inmed.,28/10/2025 13:40,Dólar Estadounidense,"0,00%","$94,50","$0,00","$94,50","$94,50","$94,50",V$210.000,$198.450,1
,,,,,,,,,,,,,,
,DE6D,LETRAS TESORO NAC,24 hs.,28/10/2025 14:39,Dólar Estadounidense,"0,41%","$97,00","$98,00","$96,60","$98,00","$97,00",V$8.339,$8.089,15
,,,,,,,,,,,,,,
,DE6X,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Pesos Argentinos,"0,00%","$0,00","$0,00","$145.300,00","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,DE6X,LETRAS TESORO NAC,24 hs.,28/10/2025 16:04,Pesos Argentinos,"0,00%","$143.700,00","$0,00","$143.600,00","$143.700,00","$142.700,00",V$2.500.000,$3.587.500.000,2
,,,,,,,,,,,,,,
,DE6Y,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Dólar Estadounidense,"0,00%","$0,00","$0,00","$95,06","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,DE6Z,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$91,02","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,DN5C,LETRAS TESORO NAC,Inmed.,28/10/2025 16:38,Dólar Cable,"0,00%","$99,00","$0,00","$92,50","$99,00","$96,00",V$646.435,$630.242,5
,,,,,,,,,,,,,,
,DN5C,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$93,42","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,DN5D,LETRAS TESORO NAC,Inmed.,28/10/2025 16:39,Dólar Estadounidense,"0,00%","$99,00","$0,00","$93,30","$99,00","$98,00",V$384.407,$377.502,9
,,,,,,,,,,,,,,
,DN5D,LETRAS TESORO NAC,24 hs.,28/10/2025 13:55,Dólar Estadounidense,"0,00%","$96,79","$0,00","$93,31","$96,79","$96,79",V$51.056,$49.417,2
,,,,,,,,,,,,,,
,DN5X,LETRAS TESORO NAC,Inmed.,28/10/2025 15:35,Pesos Argentinos,"0,00%","$145.000,00","$0,00","$142.309,20","$145.000,00","$142.199,62",V$23.104.037,$32.906.996.809,6
,,,,,,,,,,,,,,
,DN5X,LETRAS TESORO NAC,24 hs.,28/10/2025 16:57,Pesos Argentinos,"0,00%","$143.000,00","$0,00","$136.368,15","$145.230,41","$142.000,00",V$36.629.737,$52.365.870.218,10
,,,,,,,,,,,,,,
,DO5C,LETRAS TESORO NAC,Inmed.,28/10/2025 13:33,Dólar Cable,"3,42%","$99,32","$0,00","$96,03","$95,17","$91,00",V$1.900.704,$1.744.299,5
,,,,,,,,,,,,,,
,DO5C,LETRAS TESORO NAC,24 hs.,28/10/2025 16:44,Dólar Cable,"0,00%","$98,00","$0,00","$91,00","$98,00","$97,84",V$905.441,$887.001,3
,,,,,,,,,,,,,,
,DO5D,LETRAS TESORO NAC,Inmed.,28/10/2025 16:16,Dólar Estadounidense,"0,00%","$99,19","$0,00","$94,85","$99,19","$91,00",V$16.307.667,$15.503.802,7
,,,,,,,,,,,,,,
,DO5D,LETRAS TESORO NAC,24 hs.,28/10/2025 15:55,Dólar Estadounidense,"0,00%","$97,13","$0,00","$92,01","$97,13","$95,01",V$14.925.836,$14.180.776,3
,,,,,,,,,,,,,,
,DO5X,LETRAS TESORO NAC,Inmed.,28/10/2025 16:30,Pesos Argentinos,"0,00%","$146.000,00","$0,00","$135.508,29","$146.000,00","$142.000,00",V$67.656.313,$97.060.850.652,7
,,,,,,,,,,,,,,
,DO5X,LETRAS TESORO NAC,24 hs.,28/10/2025 16:56,Pesos Argentinos,"0,00%","$144.921,00","$0,00","$134.100,00","$145.901,00","$143.004,11",V$29.455.269,$42.599.686.011,8
,,,,,,,,,,,,,,
,DO5Y,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Dólar Estadounidense,"0,00%","$0,00","$0,00","$91,00","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,DO5Y,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Estadounidense,"0,00%","$0,00","$0,00","$91,00","$0,00","$0,00",V$0,$0,0
